actor,benefactor,self-act,total-act,self-ratio
illness,illness,2,18,0.11
bishop,bishop,2,19,0.11
christian,christian,1,9,0.11
crow,crow,1,9,0.11
quill,quill,1,9,0.11
hodges,hodges,1,9,0.11
carter,carter,1,9,0.11
meekness,meekness,1,9,0.11
ability,ability,1,9,0.11
mouth,mouth,1,9,0.11
manifold,manifold,1,9,0.11
sacrifice,sacrifice,1,9,0.11
working,working,1,9,0.11
ceiling,ceiling,1,9,0.11
damn,damn,1,9,0.11
warrant,warrant,1,9,0.11
honesty,honesty,1,9,0.11
wilt,wilt,27,233,0.12
merit,merit,12,99,0.12
martin,martin,8,68,0.12
class,class,5,40,0.12
copy,copy,5,41,0.12
b,b,4,32,0.12
consideration,consideration,4,32,0.12
contempt,contempt,4,34,0.12
piety,piety,3,26,0.12
court,court,3,26,0.12
vanity,vanity,3,26,0.12
better,better,2,16,0.12
chariot,chariot,2,16,0.12
tongue,tongue,2,17,0.12
hypocrite,hypocrite,2,17,0.12
asham,asham,2,17,0.12
la,la,2,16,0.12
tour,tour,2,16,0.12
dress,dress,2,17,0.12
observation,observation,2,16,0.12
happiness,happiness,2,17,0.12
antipathy,antipathy,1,8,0.12
walk,walk,1,8,0.12
rent,rent,1,8,0.12
learning,learning,1,8,0.12
vil,vil,1,8,0.12
stinginess,stinginess,1,8,0.12
hero,hero,1,8,0.12
exception,exception,1,8,0.12
u,u,1,8,0.12
velvet,velvet,1,8,0.12
incident,incident,1,8,0.12
resolv,resolv,1,8,0.12
beam,beam,1,8,0.12
vermin,vermin,1,8,0.12
nobody,nobody,15,117,0.13
mean,mean,13,101,0.13
reflection,reflection,9,70,0.13
death,death,9,67,0.13
reporter,reporter,6,45,0.13
circumstance,circumstance,6,47,0.13
paper,paper,4,30,0.13
wyerley,wyerley,4,31,0.13
trouble,trouble,4,31,0.13
tear,tear,4,31,0.13
adversity,adversity,4,30,0.13
mayst,mayst,3,23,0.13
window,window,3,23,0.13
genius,genius,3,23,0.13
penitent,penitent,2,15,0.13
encouragement,encouragement,2,15,0.13
don,don,40,276,0.14
life,life,24,171,0.14
heaven,heaven,18,129,0.14
quality,quality,14,98,0.14
fire,fire,7,49,0.14
endeavour,endeavour,6,42,0.14
shakespeare,shakespeare,6,44,0.14
blessing,blessing,5,37,0.14
desire,desire,5,36,0.14
attendance,attendance,5,36,0.14
excellence,excellence,5,36,0.14
garden,garden,5,36,0.14
mischief,mischief,5,35,0.14
secret,secret,4,29,0.14
measure,measure,4,28,0.14
taste,taste,3,22,0.14
humility,humility,3,21,0.14
acquaintance,acquaintance,3,22,0.14
companion,companion,3,22,0.14
bible,bible,3,22,0.14
wrong,wrong,2,14,0.14
bachelor,bachelor,2,14,0.14
accent,accent,2,14,0.14
fine,fine,2,14,0.14
trustee,trustee,2,14,0.14
partner,partner,2,14,0.14
king,king,2,14,0.14
doctrine,doctrine,1,7,0.14
sffragans,sffragans,1,7,0.14
indiscretion,indiscretion,1,7,0.14
consciousness,consciousness,1,7,0.14
idea,idea,1,7,0.14
taint,taint,1,7,0.14
favourite,favourite,1,7,0.14
laugh,laugh,1,7,0.14
elizabeth,elizabeth,1,7,0.14
claim,claim,1,7,0.14
hall,hall,1,7,0.14
retir,retir,1,7,0.14
abhorrence,abhorrence,1,7,0.14
breath,breath,1,7,0.14
dispatch,dispatch,1,7,0.14
workwoman,workwoman,1,7,0.14
ty,ty,1,7,0.14
narrative,narrative,1,7,0.14
passiveness,passiveness,1,7,0.14
vol,vol,1,7,0.14
suspicion,suspicion,1,7,0.14
time,time,32,211,0.15
way,way,13,84,0.15
rake,rake,12,81,0.15
sun,sun,9,59,0.15
state,state,9,59,0.15
method,method,8,55,0.15
principle,principle,8,52,0.15
triumph,triumph,8,53,0.15
pocket,pocket,7,48,0.15
elder,elder,6,41,0.15
choice,choice,6,39,0.15
wit,wit,5,34,0.15
guilt,guilt,4,26,0.15
pain,pain,4,26,0.15
country,country,4,26,0.15
tea,tea,4,27,0.15
providence,providence,3,20,0.15
approbation,approbation,3,20,0.15
provocation,provocation,3,20,0.15
fool,fool,3,20,0.15
army,army,3,20,0.15
hamstead,hamstead,2,13,0.15
difference,difference,2,13,0.15
oh,oh,2,13,0.15
vein,vein,2,13,0.15
use,use,2,13,0.15
issue,issue,2,13,0.15
lion,lion,2,13,0.15
jack,jack,60,364,0.16
dear,dear,28,171,0.16
lewin,lewin,16,103,0.16
hour,hour,15,92,0.16
leman,leman,14,90,0.16
story,story,13,83,0.16
opportunity,opportunity,10,64,0.16
presence,presence,9,58,0.16
mine,mine,9,55,0.16
thro,thro,8,49,0.16
she,she,8,51,0.16
intelligence,intelligence,7,43,0.16
knowlege,knowlege,7,43,0.16
address,address,6,37,0.16
lloyd,lloyd,6,38,0.16
consent,consent,5,32,0.16
suit,suit,5,31,0.16
delight,delight,5,31,0.16
book,book,5,32,0.16
murderer,murderer,3,19,0.16
island,island,3,19,0.16
deed,deed,3,19,0.16
ladyship,ladyship,19,114,0.17
subject,subject,16,94,0.17
mennell,mennell,15,86,0.17
grief,grief,14,82,0.17
order,order,11,64,0.17
poet,poet,11,64,0.17
thyself,thyself,10,60,0.17
visit,visit,9,52,0.17
innocent,innocent,9,53,0.17
side,side,8,48,0.17
behaviour,behaviour,8,48,0.17
niceness,niceness,8,47,0.17
england,england,8,46,0.17
nor,nor,7,40,0.17
leipsick,leipsick,5,30,0.17
luther,luther,5,30,0.17
hartley,hartley,5,30,0.17
glory,glory,4,23,0.17
reputation,reputation,4,23,0.17
veneration,veneration,4,24,0.17
lardner,lardner,4,24,0.17
catalan,catalan,3,18,0.17
seat,seat,3,18,0.17
object,object,3,18,0.17
handkerchief,handkerchief,3,18,0.17
oath,oath,3,18,0.17
mayest,mayest,3,18,0.17
nation,nation,3,18,0.17
melvill,melvill,3,18,0.17
humour,humour,2,12,0.17
intimacy,intimacy,2,12,0.17
pert,pert,2,12,0.17
simpleton,simpleton,2,12,0.17
earnestness,earnestness,2,12,0.17
gift,gift,2,12,0.17
deceiver,deceiver,1,6,0.17
dea,dea,1,6,0.17
ruddy,ruddy,1,6,0.17
usedst,usedst,1,6,0.17
second,second,1,6,0.17
picture,picture,1,6,0.17
matrimony,matrimony,1,6,0.17
wrestler,wrestler,1,6,0.17
shock,shock,1,6,0.17
trifle,trifle,1,6,0.17
white,white,1,6,0.17
breast,breast,1,6,0.17
complexion,complexion,1,6,0.17
linen,linen,1,6,0.17
extract,extract,1,6,0.17
standing,standing,1,6,0.17
thief,thief,1,6,0.17
declaration,declaration,1,6,0.17
trembling,trembling,1,6,0.17
batchelor,batchelor,1,6,0.17
noise,noise,1,6,0.17
bloom,bloom,1,6,0.17
contriver,contriver,1,6,0.17
immorality,immorality,1,6,0.17
licence,licence,1,6,0.17
barbarity,barbarity,1,6,0.17
thorn,thorn,1,6,0.17
mention,mention,1,6,0.17
safety,safety,1,6,0.17
snare,snare,1,6,0.17
penitence,penitence,1,6,0.17
pride,pride,26,145,0.18
generosity,generosity,12,65,0.18
col,col,11,61,0.18
nay,nay,10,56,0.18
vice,vice,6,33,0.18
wert,wert,5,28,0.18
prosecution,prosecution,4,22,0.18
constitution,constitution,4,22,0.18
determin,determin,3,17,0.18
curiosity,curiosity,3,17,0.18
besought,besought,3,17,0.18
leeson,leeson,3,17,0.18
footman,footman,2,11,0.18
top,top,2,11,0.18
begone,begone,2,11,0.18
sunday,sunday,2,11,0.18
besough,besough,2,11,0.18
form,form,2,11,0.18
preparation,preparation,2,11,0.18
m,m,131,693,0.19
dr,dr,39,208,0.19
brand,brand,28,148,0.19
line,line,13,69,0.19
wouldst,wouldst,10,54,0.19
experience,experience,8,42,0.19
reconciliation,reconciliation,7,37,0.19
accident,accident,7,36,0.19
hereupon,hereupon,7,36,0.19
meeting,meeting,6,32,0.19
pray,pray,6,32,0.19
slave,slave,6,31,0.19
bell,bell,5,27,0.19
judgment,judgment,5,27,0.19
feast,feast,4,21,0.19
key,key,3,16,0.19
neighbour,neighbour,3,16,0.19
want,want,3,16,0.19
principal,principal,3,16,0.19
number,number,3,16,0.19
society,society,3,16,0.19
memory,memory,3,16,0.19
confidence,confidence,3,16,0.19
thou,thou,232,1153,0.2
madam,madam,125,611,0.2
antony,antony,82,420,0.2
spirit,spirit,61,306,0.2
house,house,54,264,0.2
master,master,20,101,0.2
maid,maid,16,81,0.2
trial,trial,15,76,0.2
canst,canst,14,71,0.2
figure,figure,12,59,0.2
mabell,mabell,11,54,0.2
friendship,friendship,8,40,0.2
dearest,dearest,8,41,0.2
youth,youth,7,35,0.2
compliance,compliance,7,35,0.2
scheme,scheme,7,35,0.2
didst,didst,5,25,0.2
prohibition,prohibition,5,25,0.2
entrance,entrance,5,25,0.2
vixen,vixen,4,20,0.2
doubt,doubt,3,15,0.2
sentiment,sentiment,3,15,0.2
anger,anger,3,15,0.2
value,value,3,15,0.2
shouldst,shouldst,3,15,0.2
satan,satan,3,15,0.2
symmes,symmes,3,15,0.2
countenance,countenance,3,15,0.2
maiden,maiden,3,15,0.2
coward,coward,2,10,0.2
mortal,mortal,2,10,0.2
kingdom,kingdom,2,10,0.2
solomon,solomon,2,10,0.2
religion,religion,2,10,0.2
novelty,novelty,2,10,0.2
insult,insult,2,10,0.2
branch,branch,2,10,0.2
valuable,valuable,2,10,0.2
breaker,breaker,2,10,0.2
consolation,consolation,2,10,0.2
ardour,ardour,2,10,0.2
employment,employment,2,10,0.2
management,management,2,10,0.2
gang,gang,2,10,0.2
your,your,1,5,0.2
stay,stay,1,5,0.2
parliament,parliament,1,5,0.2
every,every,1,5,0.2
wolf,wolf,1,5,0.2
tenderness,tenderness,1,5,0.2
check,check,1,5,0.2
being,being,1,5,0.2
enough,enough,1,5,0.2
comer,comer,1,5,0.2
village,village,1,5,0.2
repetition,repetition,1,5,0.2
hate,hate,1,5,0.2
chimney,chimney,1,5,0.2
preachment,preachment,1,5,0.2
knife,knife,1,5,0.2
fever,fever,1,5,0.2
scripture,scripture,1,5,0.2
fashion,fashion,1,5,0.2
perdition,perdition,1,5,0.2
testator,testator,1,5,0.2
sound,sound,1,5,0.2
amendment,amendment,1,5,0.2
gratification,gratification,1,5,0.2
censurers,censurers,1,5,0.2
reply,reply,1,5,0.2
purposing,purposing,1,5,0.2
misrepresentation,misrepresentation,1,5,0.2
expence,expence,1,5,0.2
know,know,1,5,0.2
rise,rise,1,5,0.2
injunction,injunction,1,5,0.2
profligate,profligate,1,5,0.2
monday,monday,1,5,0.2
eulogy,eulogy,1,5,0.2
fall,fall,1,5,0.2
gown,gown,1,5,0.2
indifference,indifference,1,5,0.2
paint,paint,1,5,0.2
balancing,balancing,1,5,0.2
serpent,serpent,1,5,0.2
implacables,implacables,1,5,0.2
rage,rage,1,5,0.2
clock,clock,1,5,0.2
renew,renew,1,5,0.2
sixtus,sixtus,1,5,0.2
vth,vth,1,5,0.2
hare,hare,1,5,0.2
scare,scare,1,5,0.2
fame,fame,1,5,0.2
cully,cully,1,5,0.2
pattern,pattern,1,5,0.2
extremity,extremity,1,5,0.2
nerve,nerve,1,5,0.2
fibre,fibre,1,5,0.2
houshold,houshold,1,5,0.2
did,did,1,5,0.2
aunt,aunt,169,808,0.21
husband,husband,61,295,0.21
son,son,33,160,0.21
altho,altho,33,159,0.21
charlotte,charlotte,29,139,0.21
day,day,21,100,0.21
sarah,sarah,19,89,0.21
view,view,16,75,0.21
affair,affair,13,63,0.21
place,place,13,62,0.21
manner,manner,12,58,0.21
situation,situation,12,58,0.21
contrivance,contrivance,11,52,0.21
somebody,somebody,11,52,0.21
kinsman,kinsman,11,52,0.21
minister,minister,11,53,0.21
goddard,goddard,8,38,0.21
advice,advice,7,34,0.21
return,return,7,34,0.21
bearer,bearer,6,28,0.21
notion,notion,6,29,0.21
resignation,resignation,6,29,0.21
ambrose,ambrose,6,29,0.21
inclination,inclination,5,24,0.21
writing,writing,5,24,0.21
afternoon,afternoon,5,24,0.21
vow,vow,3,14,0.21
fain,fain,3,14,0.21
gentleness,gentleness,3,14,0.21
london,london,3,14,0.21
shame,shame,3,14,0.21
excellency,excellency,3,14,0.21
low,low,3,14,0.21
morden,morden,158,719,0.22
one,one,74,344,0.22
hervey,hervey,64,291,0.22
word,word,32,147,0.22
bella,bella,15,67,0.22
step,step,15,68,0.22
poor,poor,14,64,0.22
cause,cause,13,60,0.22
effect,effect,13,59,0.22
cast,cast,11,51,0.22
education,education,9,41,0.22
distress,distress,9,41,0.22
thought,thought,9,41,0.22
remorse,remorse,9,41,0.22
affliction,affliction,9,41,0.22
almighty,almighty,8,37,0.22
sort,sort,8,36,0.22
look,look,7,32,0.22
physician,physician,7,32,0.22
vehemence,vehemence,6,27,0.22
horse,horse,6,27,0.22
knowest,knowest,5,23,0.22
everybody,everybody,5,23,0.22
news,news,5,23,0.22
lot,lot,5,23,0.22
direction,direction,4,18,0.22
regard,regard,4,18,0.22
matt,matt,4,18,0.22
month,month,4,18,0.22
george,george,2,9,0.22
colmar,colmar,2,9,0.22
seemest,seemest,2,9,0.22
and,and,2,9,0.22
rank,rank,2,9,0.22
vivacity,vivacity,2,9,0.22
courage,courage,2,9,0.22
fugitive,fugitive,2,9,0.22
anniversary,anniversary,2,9,0.22
landlady,landlady,2,9,0.22
ingenuity,ingenuity,2,9,0.22
ruffle,ruffle,2,9,0.22
peter,peter,2,9,0.22
bud,bud,2,9,0.22
impatience,impatience,2,9,0.22
presumption,presumption,2,9,0.22
quire,quire,2,9,0.22
scruple,scruple,2,9,0.22
foxhunter,foxhunter,2,9,0.22
capt,capt,2,9,0.22
andrew,andrew,2,9,0.22
letter,letter,231,1025,0.23
family,family,168,741,0.23
thing,thing,81,360,0.23
wretch,wretch,77,332,0.23
eye,eye,49,215,0.23
art,art,36,154,0.23
dolly,dolly,33,144,0.23
bevis,bevis,25,111,0.23
belton,belton,22,95,0.23
fortune,fortune,19,83,0.23
kind,kind,16,70,0.23
door,door,13,57,0.23
lewen,lewen,11,48,0.23
tony,tony,10,43,0.23
jenyns,jenyns,10,43,0.23
doleman,doleman,9,40,0.23
loss,loss,8,35,0.23
lawrance,lawrance,7,30,0.23
prince,prince,7,30,0.23
queen,queen,7,31,0.23
question,question,6,26,0.23
alexander,alexander,5,22,0.23
round,round,3,13,0.23
pity,pity,3,13,0.23
hertfordshire,hertfordshire,3,13,0.23
description,description,3,13,0.23
bailiff,bailiff,3,13,0.23
patience,patience,3,13,0.23
finger,finger,3,13,0.23
what,what,3,13,0.23
chair,chair,3,13,0.23
refusal,refusal,3,13,0.23
sister,sister,262,1070,0.24
sinclair,sinclair,81,337,0.24
devil,devil,65,274,0.24
niece,niece,54,229,0.24
nothing,nothing,53,225,0.24
disgrace,disgrace,12,49,0.24
kitty,kitty,12,49,0.24
collins,collins,11,46,0.24
nature,nature,10,41,0.24
curse,curse,9,37,0.24
rowe,rowe,8,33,0.24
goodness,goodness,7,29,0.24
right,right,6,25,0.24
stair,stair,6,25,0.24
text,text,6,25,0.24
age,age,6,25,0.24
authority,authority,5,21,0.24
history,history,5,21,0.24
faculty,faculty,4,17,0.24
living,living,4,17,0.24
uncle,uncle,278,1117,0.25
lord,lord,241,975,0.25
belford,belford,178,702,0.25
james,james,85,338,0.25
lordship,lordship,54,212,0.25
passion,passion,25,100,0.25
head,head,21,84,0.25
opinion,opinion,20,80,0.25
squire,squire,20,79,0.25
surgeon,surgeon,18,72,0.25
robert,robert,17,67,0.25
air,air,16,65,0.25
patty,patty,15,60,0.25
sickness,sickness,13,51,0.25
hope,hope,13,52,0.25
calamity,calamity,13,52,0.25
rascal,rascal,12,48,0.25
hint,hint,10,40,0.25
revenge,revenge,8,32,0.25
turn,turn,8,32,0.25
chairman,chairman,7,28,0.25
conduct,conduct,6,24,0.25
pardon,pardon,5,20,0.25
charity,charity,5,20,0.25
may,may,5,20,0.25
mediation,mediation,4,16,0.25
rich,rich,4,16,0.25
smile,smile,3,12,0.25
margaret,margaret,3,12,0.25
commission,commission,3,12,0.25
whose,whose,3,12,0.25
fact,fact,3,12,0.25
wednesday,wednesday,3,12,0.25
base,base,2,8,0.25
punctilio,punctilio,2,8,0.25
opposition,opposition,2,8,0.25
placability,placability,2,8,0.25
censure,censure,2,8,0.25
honest,honest,2,8,0.25
intimation,intimation,2,8,0.25
stratagem,stratagem,2,8,0.25
feature,feature,2,8,0.25
imputation,imputation,2,8,0.25
accuser,accuser,2,8,0.25
tribe,tribe,2,8,0.25
parish,parish,2,8,0.25
quarrel,quarrel,2,8,0.25
religious,religious,2,8,0.25
malediction,malediction,2,8,0.25
client,client,2,8,0.25
pollard,pollard,2,8,0.25
anguish,anguish,2,8,0.25
receptacle,receptacle,2,8,0.25
hussey,hussey,2,8,0.25
solemnity,solemnity,2,8,0.25
instigation,instigation,2,8,0.25
knight,knight,2,8,0.25
severity,severity,1,4,0.25
proverb,proverb,1,4,0.25
gloom,gloom,1,4,0.25
crown,crown,1,4,0.25
margery,margery,1,4,0.25
visitor,visitor,1,4,0.25
ince,ince,1,4,0.25
shews,shews,1,4,0.25
reward,reward,1,4,0.25
perusal,perusal,1,4,0.25
solicitude,solicitude,1,4,0.25
ape,ape,1,4,0.25
hesitation,hesitation,1,4,0.25
flatterer,flatterer,1,4,0.25
fountain,fountain,1,4,0.25
current,current,1,4,0.25
disapprobation,disapprobation,1,4,0.25
multitude,multitude,1,4,0.25
roguery,roguery,1,4,0.25
vallens,vallens,1,4,0.25
scratch,scratch,1,4,0.25
humorousness,humorousness,1,4,0.25
root,root,1,4,0.25
plenty,plenty,1,4,0.25
worthier,worthier,1,4,0.25
affront,affront,1,4,0.25
need,need,1,4,0.25
tendency,tendency,1,4,0.25
particualr,particualr,1,4,0.25
miracle,miracle,1,4,0.25
homer,homer,1,4,0.25
contrition,contrition,1,4,0.25
shoulder,shoulder,1,4,0.25
inscription,inscription,1,4,0.25
stroke,stroke,1,4,0.25
talk,talk,1,4,0.25
pound,pound,1,4,0.25
inconveniencies,inconveniencies,1,4,0.25
demand,demand,1,4,0.25
infernal,infernal,1,4,0.25
persevereance,persevereance,1,4,0.25
yet,yet,1,4,0.25
thee,thee,1,4,0.25
gridiron,gridiron,1,4,0.25
requester,requester,1,4,0.25
complaint,complaint,1,4,0.25
proctor,proctor,1,4,0.25
struggle,struggle,1,4,0.25
skin,skin,1,4,0.25
eater,eater,1,4,0.25
briar,briar,1,4,0.25
whining,whining,1,4,0.25
howe,howe,350,1338,0.26
colonel,colonel,197,768,0.26
john,john,95,369,0.26
body,body,93,353,0.26
norton,norton,86,336,0.26
joseph,joseph,83,317,0.26
grandfather,grandfather,44,167,0.26
clary,clary,21,80,0.26
wench,wench,20,76,0.26
his,his,20,77,0.26
nephew,nephew,18,69,0.26
townsend,townsend,18,68,0.26
harry,harry,17,65,0.26
resolution,resolution,17,65,0.26
estate,estate,16,61,0.26
joy,joy,12,47,0.26
office,office,11,43,0.26
settlement,settlement,10,38,0.26
this,this,10,39,0.26
terror,terror,9,35,0.26
concern,concern,9,34,0.26
oliver,oliver,8,31,0.26
varlet,varlet,7,27,0.26
dryden,dryden,6,23,0.26
robin,robin,6,23,0.26
dozen,dozen,5,19,0.26
church,church,5,19,0.26
foot,foot,5,19,0.26
miss,miss,659,2466,0.27
cousin,cousin,216,792,0.27
child,child,91,339,0.27
character,character,68,256,0.27
love,love,59,219,0.27
fortescue,fortescue,48,181,0.27
part,part,33,123,0.27
case,case,27,101,0.27
justice,justice,19,71,0.27
temper,temper,14,51,0.27
health,health,11,41,0.27
goody,goody,10,37,0.27
fault,fault,9,33,0.27
sadleir,sadleir,4,15,0.27
surprize,surprize,4,15,0.27
intention,intention,4,15,0.27
ardor,ardor,3,11,0.27
skill,skill,3,11,0.27
general,general,3,11,0.27
dejection,dejection,3,11,0.27
harlowe,harlowe,443,1576,0.28
mother,mother,259,937,0.28
men,men,111,398,0.28
montague,montague,49,178,0.28
apothecary,apothecary,22,78,0.28
h,h,21,76,0.28
writer,writer,18,65,0.28
treatment,treatment,16,57,0.28
spouse,spouse,16,57,0.28
violence,violence,15,54,0.28
beauty,beauty,13,47,0.28
motion,motion,11,40,0.28
barton,barton,9,32,0.28
lesson,lesson,8,29,0.28
pr,pr,7,25,0.28
partington,partington,7,25,0.28
compliment,compliment,5,18,0.28
flight,flight,5,18,0.28
lovelace,lovelace,755,2626,0.29
creature,creature,244,844,0.29
father,father,229,777,0.29
captain,captain,150,510,0.29
servant,servant,146,500,0.29
tomlinson,tomlinson,84,286,0.29
moore,moore,83,285,0.29
messenger,messenger,59,206,0.29
libertine,libertine,43,149,0.29
biddulph,biddulph,38,132,0.29
esq,esq,33,114,0.29
tho,tho,28,96,0.29
favour,favour,26,91,0.29
action,action,16,55,0.29
night,night,16,56,0.29
year,year,12,42,0.29
horton,horton,12,42,0.29
earth,earth,9,31,0.29
honner,honner,9,31,0.29
request,request,7,24,0.29
room,room,7,24,0.29
expedient,expedient,6,21,0.29
work,work,5,17,0.29
humanity,humanity,4,14,0.29
reformation,reformation,4,14,0.29
street,street,4,14,0.29
length,length,4,14,0.29
advocate,advocate,4,14,0.29
duce,duce,2,7,0.29
david,david,2,7,0.29
respectful,respectful,2,7,0.29
dream,dream,2,7,0.29
evening,evening,2,7,0.29
petitioner,petitioner,2,7,0.29
rule,rule,2,7,0.29
weather,weather,2,7,0.29
foundation,foundation,2,7,0.29
english,english,2,7,0.29
larkin,larkin,2,7,0.29
support,support,2,7,0.29
intelligencer,intelligencer,2,7,0.29
fair,fair,2,7,0.29
yard,yard,2,7,0.29
dependence,dependence,2,7,0.29
expression,expression,2,7,0.29
machination,machination,2,7,0.29
rejection,rejection,2,7,0.29
mankind,mankind,2,7,0.29
un,un,2,7,0.29
instruction,instruction,2,7,0.29
frame,frame,2,7,0.29
defence,defence,2,7,0.29
friend,friend,350,1162,0.3
mamma,mamma,237,778,0.3
betty,betty,227,766,0.3
gentleman,gentleman,154,511,0.3
widow,widow,133,444,0.3
god,god,116,383,0.3
rawlins,rawlins,86,286,0.3
sex,sex,62,210,0.3
honour,honour,42,139,0.3
none,none,30,99,0.3
will,will,27,89,0.3
something,something,24,81,0.3
greme,greme,23,76,0.3
mistress,mistress,21,69,0.3
grandson,grandson,18,61,0.3
proof,proof,17,57,0.3
kinswoman,kinswoman,16,54,0.3
coachman,coachman,15,50,0.3
rest,rest,14,46,0.3
conscience,conscience,14,47,0.3
modesty,modesty,9,30,0.3
mightst,mightst,8,27,0.3
katharine,katharine,8,27,0.3
indignation,indignation,6,20,0.3
grace,grace,6,20,0.3
apprehension,apprehension,6,20,0.3
faithful,faithful,3,10,0.3
moral,moral,3,10,0.3
usage,usage,3,10,0.3
repentance,repentance,3,10,0.3
vigilance,vigilance,3,10,0.3
spy,spy,3,10,0.3
sambre,sambre,3,10,0.3
fellow,fellow,206,662,0.31
person,person,181,593,0.31
people,people,159,512,0.31
wife,wife,134,428,0.31
clarissa,clarissa,123,399,0.31
mind,mind,64,205,0.31
relation,relation,61,196,0.31
enemy,enemy,21,68,0.31
sense,sense,20,65,0.31
point,point,17,54,0.31
